Port,Time,Sequence #,Data
2,2015-07-08 08:58:31,779,0026bb0bdd03ee3f4043bf04182d00d6
2,2015-07-08 08:58:27,776,0026bb0bdd03ed404043bf04182d00d6
2,2015-07-08 08:58:24,772,0026bc0bd703ec3e4043bf04182d00d6
2,2015-07-08 08:58:20,767,0026bc0bdd03eb414043b704182900d9
2,2015-07-08 08:58:14,762,0026bc0bdd03ed3f4043b704182900d9
2,2015-07-08 08:58:02,748,0026bc0bd703e3424043aa04182500d9
2,2015-07-08 08:58:01,746,0026bd0bd103e7404043aa04182500d9
2,2015-07-08 08:58:00,745,0026bd0bd703e6424043aa04182500d9
2,2015-07-08 08:57:59,744,0026bb0bd703e1404043aa04182500d9
2,2015-07-08 08:57:53,737,0026bc0bd703e6414043a104182100dd
2,2015-07-08 08:57:47,730,0026bc0bd103e9404043a104182100dd
2,2015-07-08 08:57:35,717,0026be0bca03e74140437704181d00de
2,2015-07-08 08:57:33,715,0026be0bd103e64240432604182300df
2,2015-07-08 08:57:28,709,0026bb0bca03ef3f40432604182300df
2,2015-07-08 08:57:15,695,0026bb0bc403f7414042cf04182500e1
2,2015-07-08 08:57:01,680,0026bd0bca03eb4040428404183a00e1
2,2015-07-08 08:56:56,674,0026bb0bbe03e83f40428404183a00e1
2,2015-07-08 08:56:44,661,0026bf0bbe03da4240425c04183100e2
2,2015-07-08 08:56:42,659,0026be0bca03dc4240423c04182b00e3
2,2015-07-08 08:56:36,652,0026bd0bbe03e64240423c04182b00e3
2,2015-07-08 08:56:31,646,0026bc0bbe03ed404041fc04181a00e2
2,2015-07-08 08:56:23,638,0026bf0bbe03d4424041f904181a00e2
2,2015-07-08 08:56:12,625,0026bf0bb103cf424041ef04181800e1
2,2015-07-08 08:55:40,590,0026bd0ba503de4040412c0417c500e2
2,2015-07-08 08:55:39,589,0026c00bab03d84340412c0417c500e2
2,2015-07-08 08:55:34,583,0026bf0b9f03cc4040412c0417c500e2
2,2015-07-08 08:55:20,568,0026c00ba503cb3f40412c0417ac00e3
2,2015-07-08 08:54:26,508,0026c00b8603ca404041230416e700e9
2,2015-07-08 08:54:24,506,0026bf0b7f03d2414041230416e700e9
2,2015-07-08 08:54:18,499,0026bf0b7f03d5424041230416e700e9
2,2015-07-08 08:54:17,498,0026bf0b7f03d3424041230416e700e9
2,2015-07-08 08:54:13,494,0026be0b7903d4404041230416e700e9
2,2015-07-08 08:54:13,493,0026bf0b7903ce424041230416e700e9
2,2015-07-08 08:54:12,492,0026bf0b7903cf424041230416e700e9
2,2015-07-08 08:54:05,485,0026be0b7303d2424041230416e700e9
2,2015-07-08 08:53:59,478,0026bf0b7303cf404041230416e700e9
2,2015-07-08 08:53:58,477,0026c00b7303cf404041230416e700e9
2,2015-07-08 08:53:54,472,0026bf0b6d03d8424041230416e700e9
2,2015-07-08 08:53:48,466,0026be0b6d03d6414041230416e700e9
2,2015-07-08 08:53:47,465,0026c00b6d03cd3f4041230416e700e9
2,2015-07-08 08:53:46,464,0026be0b6603d2414041230416e700e9
2,2015-07-08 08:53:42,460,0026bc0b6603df414041230416e700e9
2,2015-07-08 08:53:42,459,0026be0b6603c7414041230416e700e9
2,2015-07-08 08:53:35,452,0026bf0b6003cf424041230416e700e9
2,2015-07-08 08:53:34,450,0026bf0b6003d5414041230416e700e9
2,2015-07-08 08:53:32,449,0026c00b6603d5404041230416e700e9
2,2015-07-08 08:53:30,447,0026c00b6003d7424041230416e700e9
